Season,Matchday,Date,HomeTeam_norm,AwayTeam_norm,pred_key,y_true,y_pred_market,pH_mkt_pred,pD_mkt_pred,pA_mkt_pred,conf_maxprob,entropy,margin_top12,B365H,B365D,B365A,overround,odds_pick,p_pick,ev_pick,kelly_pick,bet_placed,correct,profit,cum_profit_season
2011,27,2012-03-12,villarreal,getafe,2011|2012-03-12|villarreal|getafe,A,H,0.4903728275762602,0.2754741472560756,0.23415302516766426,0.4903728275762602,1.0445314209612733,0.2148986803201846,1.91,3.4,4.0,1.0676778564829073,1.91,0.4903728275762602,-0.06338789932934302,0.0,1,0,-1.0,-34.23
2011,28,2012-03-17,getafe,sociedad,2011|2012-03-17|getafe|sociedad,H,H,0.48113723346090764,0.28430836522689995,0.23455440131219246,0.48113723346090764,1.0496945342219497,0.1968288682340077,1.95,3.3,4.0,1.065850815850816,1.95,0.48113723346090764,-0.061782394751230096,0.0,1,1,0.95,-33.28
2011,28,2012-03-17,granada,sp gijon,2011|2012-03-17|granada|sp gijon,H,H,0.4689603590127151,0.2842183994016455,0.2468212415856395,0.4689603590127151,1.0579897603610466,0.1847419596110696,2.0,3.3,3.8,1.066188197767145,2.0,0.4689603590127151,-0.062079281974569744,0.0,1,1,1.0,-32.28
2011,28,2012-03-17,sevilla,barcelona,2011|2012-03-17|sevilla|barcelona,A,A,0.11062590975254732,0.19796215429403205,0.6914119359534208,0.6914119359534208,0.8193338115261066,0.4934497816593887,8.5,4.75,1.36,1.0634674922600618,1.36,0.6914119359534208,-0.059679767103347686,0.0,1,1,0.3600000000000001,-31.919999999999998
2011,28,2012-03-17,vallecano,betis,2011|2012-03-17|vallecano|betis,H,H,0.4285714285714285,0.2857142857142857,0.2857142857142857,0.4285714285714285,1.0789922078775833,0.1428571428571428,2.2,3.3,3.3,1.0606060606060606,2.2,0.4285714285714285,-0.05714285714285727,0.0,1,1,1.2000000000000002,-30.72
2011,28,2012-03-17,zaragoza,osasuna,2011|2012-03-17|zaragoza|osasuna,D,H,0.3774574049803408,0.2948885976408912,0.327653997378768,0.3774574049803408,1.0934566705495832,0.04980340760157281,2.5,3.2,2.88,1.0597222222222222,2.5,0.3774574049803408,-0.056356487549148016,0.0,1,0,-1.0,-31.72
2011,28,2012-03-18,ath bilbao,valencia,2011|2012-03-18|ath bilbao|valencia,A,H,0.41883568448241604,0.27717067355454006,0.3039936419630439,0.41883568448241604,1.0821266021342753,0.11484204251937213,2.25,3.4,3.1,1.0611427366645583,2.25,0.41883568448241604,-0.05761970991456389,0.0,1,0,-1.0,-32.72
2011,28,2012-03-18,levante,villarreal,2011|2012-03-18|levante|villarreal,H,H,0.39215686274509803,0.29411764705882354,0.3137254901960784,0.39215686274509803,1.0907115534410028,0.0784313725490196,2.4,3.2,3.0,1.0625,2.4,0.39215686274509803,-0.05882352941176483,0.0,1,1,1.4,-31.319999999999997
2011,28,2012-03-18,mallorca,ath madrid,2011|2012-03-18|mallorca|ath madrid,H,A,0.3141116751269035,0.2899492385786802,0.39593908629441626,0.39593908629441626,1.0895504542285734,0.08182741116751274,3.0,3.25,2.38,1.0611937082525318,2.38,0.39593908629441626,-0.05766497461928932,0.0,1,0,-1.0,-32.32
2011,28,2012-03-18,real madrid,malaga,2011|2012-03-18|real madrid|malaga,D,H,0.8067304367869079,0.12584994813875763,0.06741961507433444,0.8067304367869079,0.6159213217624092,0.6808804886481503,1.17,7.5,14.0,1.0594627594627595,1.17,0.8067304367869079,-0.05612538895931779,0.0,1,0,-1.0,-33.32
2011,28,2012-03-19,espanol,santander,2011|2012-03-19|espanol|santander,H,H,0.5620082427875609,0.25028100412139376,0.1877107530910453,0.5620082427875609,0.9845454224650529,0.31172723866616714,1.67,3.75,5.0,1.0654690618762475,1.67,0.5620082427875609,-0.061446234544773326,0.0,1,1,0.6699999999999999,-32.65
